mes,producto,categoria,region,canal,unidades,precio_unitario,ingresos
2025-10,Altavoz portátil Mini,Audio,Norte,Tienda,22.0,39.81,875.82
2025-10,Altavoz portátil Mini,Audio,Centro,Online,36.0,38.8,1396.89
2025-10,Altavoz portátil Mini,Audio,Centro,Tienda,24.0,40.44,970.44
2025-10,Altavoz portátil Mini,Audio,Sur,Online,32.0,40.61,1299.61
2025-10,Altavoz portátil Mini,Audio,Sur,Tienda,18.0,38.18,687.17
2025-10,Altavoz portátil Mini,Audio,Levante,Online,34.0,39.11,1329.68
2025-10,Altavoz portátil Mini,Audio,Norte,Online,34.0,38.13,1296.58
2025-10,Altavoz portátil Mini,Audio,Levante,Tienda,23.0,39.46,907.64
2025-10,Auriculares BT Zen,Audio,Levante,Tienda,27.0,59.54,1607.63
2025-10,Auriculares BT Zen,Audio,Centro,Online,48.0,,
2025-10,Auriculares BT Zen,Audio,Sur,Online,,54.95,1758.26
2025-10,Auriculares BT Zen,Audio,Levante,Online,35.0,55.16,1930.75
2025-10,Auriculares BT Zen,Audio,Sur,Tienda,24.0,60.08,1442.01
2025-10,Auriculares BT Zen,Audio,Norte,Tienda,27.0,56.5,1525.62
2025-10,Auriculares BT Zen,Audio,Norte,Online,27.0,56.09,1514.4
2025-10,Auriculares BT Zen,Audio,Centro,Tienda,25.0,59.55,1488.83
2025-10,Barra de sonido S30,Audio,Norte,Tienda,15.0,178.66,2679.84
2025-10,Barra de sonido S30,Audio,Norte,Online,21.0,176.94,3715.75
2025-10,Barra de sonido S30,Audio,Levante,Online,31.0,,
2025-10,Barra de sonido S30,Audio,Sur,Tienda,14.0,167.22,2341.12
2025-10,Barra de sonido S30,Audio,Centro,Tienda,23.0,180.09,4142.1
2025-10,Barra de sonido S30,Audio,Levante,Tienda,21.0,171.81,3608.11
2025-10,Barra de sonido S30,Audio,Centro,Online,27.0,181.14,4890.72
2025-10,Barra de sonido S30,Audio,Sur,Online,23.0,169.66,3902.28
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Tienda,23.0,65.11,1497.53
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Online,33.0,63.82,2105.99
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Levante,Online,49.0,61.26,3001.73
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Online,33.0,60.41,1993.4
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Sur,Tienda,25.0,60.88,1522.04
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Online,51.0,64.54,3291.32
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Norte,Tienda,19.0,60.69,1153.13
2025-10,Batidora de vaso Pro,Pequeño electrodoméstico,Centro,Tienda,28.0,60.41,1691.47
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Tienda,23.0,86.8,1996.43
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Online,46.0,85.34,3925.83
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Tienda,17.0,88.18,1499.1
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Tienda,14.0,86.99,1217.87
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Norte,Online,21.0,90.25,1895.29
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Centro,Tienda,21.0,88.32,1854.77
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Sur,Online,21.0,88.07,1849.38
2025-10,Cafetera Aroma X,Pequeño electrodoméstico,Levante,Online,40.0,88.71,3548.38
2025-10,Freidora de aire 5L,Pequeño electrodoméstico,Centro,Online,69.0,111.95,7724.84
